team,type,line,american,decimal,impliedProb,n,successes,fails,ties,successRate,failRate,tieRate,ev
DAL Cowboys,UNDER,7.5,400,5,0.2,100000,16752,83248,0,0.16752,0.83248,0,-0.1624
DAL Cowboys,OVER,8.5,-285,1.3508772,0.7402597364142351,100000,70092,29908,0,0.70092,0.29908,0,-0.05314315297600003
DAL Cowboys,UNDER,8.5,220,3.2,0.3125,100000,29908,70092,0,0.29908,0.70092,0,-0.04294399999999987
DAL Cowboys,OVER,9.5,-170,1.5882353,0.629629627297668,100000,53541,46459,0,0.53541,0.46459,0,-0.14964293802699996
DAL Cowboys,UNDER,9.5,145,2.45,0.4081632653061224,100000,46459,53541,0,0.46459,0.53541,0,0.13824550000000002
DAL Cowboys,OVER,10.5,115,2.15,0.46511627906976744,100000,36278,63722,0,0.36278,0.63722,0,-0.22002300000000002
DAL Cowboys,UNDER,10.5,-135,1.74074075,0.5744680820507017,100000,63722,36278,0,0.63722,0.36278,0,0.10923482071500007
DAL Cowboys,OVER,11.5,205,3.05,0.3278688524590164,100000,20915,79085,0,0.20915,0.79085,0,-0.3620925000000001
DAL Cowboys,UNDER,11.5,-260,1.38461539,0.7222222194135802,100000,79085,20915,0,0.79085,0.20915,0,0.09502308118150005
DAL Cowboys,OVER,12.5,350,4.5,0.2222222222222222,100000,9942,90058,0,0.09942,0.90058,0,-0.55261
DAL Cowboys,UNDER,12.5,-475,1.21052632,0.8260869536483931,100000,90058,9942,0,0.90058,0.09942,0,0.09017579326560006
DAL Cowboys,OVER,13.5,650,7.5,0.13333333333333333,100000,3772,96228,0,0.03772,0.96228,0,-0.7171000000000001
DAL Cowboys,UNDER,13.5,-1200,1.08333334,0.9230769173964497,100000,96228,3772,0,0.96228,0.03772,0,0.04247000641520004
DEN Broncos,OVER,3.5,-2500,1.04,0.9615384615384615,100000,98395,1605,0,0.98395,0.01605,0,0.023308000000000034
DEN Broncos,UNDER,3.5,1100,12,0.08333333333333333,100000,1605,98395,0,0.01605,0.98395,0,-0.8074
DEN Broncos,OVER,4.5,-1200,1.08333334,0.9230769173964497,100000,95405,4595,0,0.95405,0.04595,0,0.03355417302700003
